Atetr,Abylopsis tetragona
Aalat,Alatina alata
Aauri,Aurelia aurita
Acitr,Aegina citrea
Adigi,Acropora digitifera
Adisc,Andvakia discipulorum
Aequi,Actinia equina
Ageleg,Agalma elegans
Aneleg,Anthopleura elegantissima
Aquee,Amphimedon queenslandica
AspL,Arachnanthus sp. larva
Asulc,Anemonia sulcata
Avanh,Atolla vanhoeffeni
Aviri,Anemonia viridis
Bannu,Bartholomea annulata
Banti,Bunodeopsis antilliensis
Bcave,Bunodosoma cavernatum
Bmexi,Botruanthus mexicanus
Btued,Bolocera tuediae
CamAT,Ceriantheopsis americanus (Atlantic)
CamGM,Ceriantheopsis americanus (Gulf of Mexico)
Cassiopeasp,Cassiopea sp.
Caust,Corynactis australis
Cbore,Cerianthus borealis
Cbras,Ceriantheomorphe brasiliensis
Ccapi,Cyanea capillata
Cconv,Craterolophus convolvulus
Ccrux,Calvadosia cruxmelitensis
Cechi,Ctenactis echinata
Cflec,Chironex fleckeri
Cfusc,Chrysaora fuscescens
Cgig,Condylactis gigantea
Chemi,Clytia hemisphaerica
Clath,Craseoa lathetica
Cpoly,Calliactis polypus
Crubr,Corallium rubrum
Csowe,Craspedacusta sowerbii
Ctele,Capitella teleta
Dleuc,Diadumene leucolena
Dline,Diadumene lineata
Dmela,Drosophila melanogaster
Ecavo,Eunicella cavolinii
Ediph,Exaiptasia diaphana
Eflex,Eunicea flexuosa
Elary,Ectopleura larynx
Eline,Edwardsiella lineata
Eprol,Epiactis prolifera
Equad,Entacmaea quadricolor
Erubr,Eleutherobia rubra
Etour,Eunicea tourneforti
Everr,Eunicella verrucosa
Fliza,Favia lizardensis
Gvent,Gorgonia ventalina
Hauri,Haliclystus auricula
Hcris,Heteractis crispa
Hdigi,Hormathia digitata
Holig,Hydra oligactis
Hpoly,Hydractinia polyclina
Hprod,Haloclava producta
Hsanj,Haliclystus sanjuanensis
Hsymb,Hydractinia symbiolongicarpus
Hviri,Hydra viridissima
Hvulg,Hydra vulgaris
Imade,Isarachnanthus maderensis
Inoct,Isarachnanthus nocturnus
Kiwat,Kudoa iwatai
Leptog,Leptogorgia sp.
Lgiga,Lottia gigantea
Lnegl,Lebrunia neglecta
Lquad,Lucernaria quadricornis
Lsarm,Leptogorgia sarmentosa
Lscut,Lobactis scutaria
Maure,Madracis auretenra
Mcave,Montastraea cavernosa
Mcere,Myxobolus cerebralis
Mdore,Macrodactyla doreensis
Mgrif,Megalactis griffithsi
Mleid,Mnemiopsis leidyi
Mpend,Myxobolus pendula
Mseni,Metridium senile
Nbiju,Nanomia bijuga
Nephthyigorgiasp,Nephthyigorgia sp.
Nvect,Nematostella vectensis
Paste,Porites asteroides
Pdami,Pocillopora damicornis
Phomo,Plexaura homomalla
Phydr,Polypodum hydriforme
Plcarn,Platygyra carnosus
Pmaua,Pachycerianthus maua
Pocarn,Podocoryna carnea
Pperi,Periphylla periphylla
Pphys,Physalia physalis
Pvari,Protopalythoa variabilis
Renill,Renilla reniformis
Rindo,Rhodactis indosinensis
Ryuma,Ricordea yuma
Scruc,Sinularia cruciata
Seleg,Sagartia elegans
Shyst,Seriatopora hystrix
Smele,Stomolophus meleagris
Spurp,Strongylocentrotus purpuratus
Tadha,Trichoplax adhaerens
Tcyst,Tripedalia cystophora
Tgutt,Taeniopygia guttata
Tkita,Thelohanellus kitauei
Tmusi,Tubipora musica
Tprod,Triactis producta
Turritopsissp,Turritopsis sp.
